Area,Type,Case, Device_syn,Result,Comments
Download,File,C:/Users/nmallam1/Desktop/sampleOut/test1/suites/daisyChainTest/board_1,NA,False,";check_diamond_flow:bqs.conf"
Download,File,C:/Users/nmallam1/Desktop/sampleOut/test1/suites/daisyChainTest/board_2,NA,False,";check_diamond_flow:bqs.conf"
Download,File,C:/Users/nmallam1/Desktop/sampleOut/test1/suites/heeelllyaaaa/mult8x8,NA,False,";check_diamond_flow:bqs.conf"
Download,File,C:/Users/nmallam1/Desktop/sampleOut/test1/suites/testNormal/mult8x8,NA,False,";check_diamond_flow:bqs.conf"
Download,File,C:/Users/nmallam1/Desktop/sampleOut/test1/suites/plswork/board_1,NA,False,";check_diamond_flow:bqs.conf"
Download,File,C:/Users/nmallam1/Desktop/sampleOut/test1/suites/plswork/board_2,NA,False,";check_diamond_flow:bqs.conf"
Download,File,C:/Users/nmallam1/Desktop/sampleOut/test1/suites/testNormal/mult8x8,NA,True,""
Download,File,C:/Users/nmallam1/Desktop/sampleOut/test1/suites/daisyChain/board_1,NA,True,""
Download,File,C:/Users/nmallam1/Desktop/sampleOut/test1/suites/nTest/mult8x8,NA,True,""
Download,File,C:/Users/nmallam1/Desktop/sampleOut/test1/suites/dTest/board_1,NA,True,""
Download,File,C:/Users/nmallam1/Desktop/sampleOut/test1/suites/dTest/board_2,NA,True,""
Download,File,C:/Users/nmallam1/Desktop/sampleOut/test2/suites/normalTest/mult8x8,NA,True,""
Download,File,C:/Users/nmallam1/Desktop/sampleOut/test2/suites/daisyChainTest/board_1,NA,True,""
Download,File,C:/Users/nmallam1/Desktop/sampleOut/test2/suites/daisyChainTest/board_2,NA,True,""

SUM:,Run No.,TYPE,TOTAL,PASS,FAIL,TIME
,14,File,14,8,6,Tue Oct 18 14:27:06 2016
