[SW]:,Diamond_64bit3.8.0.86.0
[synthesis]:,lse
[Speed grade]:,6
[Target Fmax]:,
[Note]:
[Updated date]:,Mon Jun 20 16:02:20 2016
Design,Version,Device,Register,Slice,LUT,IO,EBR,DRAM,DSP,DSP_MULT,DSP_ALU,PCS,distributed_RAM,CCU,MULT18X18D,MULT9X9D,ALU54B,ALU24B,PRADD18A,PRADD9A,MULT36X36B,MULT18X18B,MULT18X18MACB,MULT18X18ADDSUBB,MULT18X18ADDSUBSUMB,MULT9X9B,MULT9X9ADDSUBB,MULT18X18C,MULT9X9C,ALU54A,ALU24A,MapCPUTime,MapPeakMem,Seed/Target,PAP,PAPFactor,targetFmax,fmax,clkName,logic,route,level,twrLabel,score_setup,score_hold,Pass_num,S_pref_num,H_pref_num,CCU_lse,LsePeakMem,PostLSEClk,PostLSEFmax,SynPeakMem,lse_CPU_Time,srr_Cpu_time,srr_Real_time,mrp_CPU_Time,mrp_REAL_Time,Complete,ParPeakMem,Par_Done,par_CPU_Time,par_REAL_Time,Total_cpu_time,Total_real_time
02_ECI_Master,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,159,260,397,10,0,12,NA,NA,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,190.00MHz,45.58%,-,190.000,86.595,pwr_derived_50,31.7%,68.3%,7,Target_fmax_190.00MHz_Impl_PrjName_Impl,3090387,1412,36,6\2,6\3,NA,89.102,pwr_derived_50,58.754,NA,2.059,NA,NA,0,0,YES,85.451,YES,9,9,11,9
04_FTML_SLIMbusDevice_iCE1K,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,723,805,1044,9,2,24,NA,NA,NA,NA,24,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,48,070.00MHz,115.13%,-,70.000,80.593,slim_clk_c,30.6%,69.4%,6,Target_fmax_070.00MHz_Impl_PrjName_Impl,0,0,36,2\0,2\0,30,92.305,slim_clk_c,60.190,NA,4.805,NA,NA,0,0,YES,108.212,YES,18,18,22,18
06_Huawei_Mobile_LCD_Scaler_V2.0,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,245,329,529,28,10,0,NA,NA,NA,NA,0,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,42,150.00MHz,105.19%,-,150.000,157.778,clk_24m,39.9%,60.1%,7,Target_fmax_150.00MHz_Impl_PrjName_Impl,0,0,36,3\0,3\0,132,66.480,clk_24m,114.207,NA,2.371,NA,NA,0,0,YES,94.712,YES,17,18,19,18
08_iceblink40_demo,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,167,197,294,22,0,0,NA,NA,NA,NA,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,38,390.00MHz,62.85%,-,390.000,245.098,LED_CLOCK,56.7%,43.3%,16,Target_fmax_390.00MHz_Impl_PrjName_Impl,522567,526,36,4\3,4\3,28,61.207,CLK_3P3_MHZ_c,178.094,NA,1.170,NA,NA,0,0,YES,83.280,YES,9,10,10,10
10_Novero_SPI_RFFEMaster_Bridge,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,309,276,340,29,0,12,NA,NA,NA,NA,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39,310.00MHz,71.23%,-,310.000,220.799,i_sys_clk_c,28.3%,71.7%,4,Target_fmax_310.00MHz_Impl_PrjName_Impl,316374,1407,36,3\3,3\3,10,64.332,i_sys_clk_c,163.559,NA,1.888,NA,NA,0,0,YES,89.080,YES,11,12,12,12
11_RIM_RFFESlave_GPIOBridge,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,78,130,222,2,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,41,160.00MHz,74.11%,-,160.000,118.568,i_SCLK_c,31.7%,68.3%,5,Target_fmax_160.00MHz_Impl_PrjName_Impl,46486,35,36,2\1,2\1,14,69.520,i_SCLK_c,56.638,NA,2.948,NA,NA,0,0,YES,80.781,YES,8,9,10,9
11_powertop_sb,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,755,980,1448,18,0,0,NA,NA,NA,NA,0,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52,290.00MHz,36.95%,-,290.000,107.158,clk_c,38.5%,61.5%,10,Target_fmax_290.00MHz_Impl_PrjName_Impl,22040699,1302,36,1\1,1\1,264,103.758,clk_c,104.482,NA,6.568,NA,NA,0,0,YES,112.624,YES,28,28,34,28
12_pwr_cntr90_top,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,2880,1892,3752,6,0,0,NA,NA,NA,NA,0,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,79,050.00MHz,834.03%,-,50.000,417.014,clk_c,63.2%,36.8%,5,Target_fmax_050.00MHz_Impl_PrjName_Impl,0,0,36,1\0,1\0,1800,110.781,clk_c,438.982,NA,11.872,NA,NA,2,3,YES,147.812,YES,31,32,44,35
14_SLIMBus_Device_iCE1K,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,730,809,1092,8,2,24,NA,NA,NA,NA,24,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,49,100.00MHz,80.91%,-,100.000,80.906,slim_clk_c,30.8%,69.2%,6,Target_fmax_100.00MHz_Impl_PrjName_Impl,287192,4064,36,3\1,3\2,33,92.645,slim_clk_c,60.190,NA,6.412,NA,NA,0,0,YES,104.616,YES,17,18,23,18
16_SLIMBusToSPDIF,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,565,710,997,4,1,0,NA,NA,NA,NA,0,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,47,140.00MHz,50.43%,-,140.000,70.602,slim_clk_c,26.0%,74.0%,6,Target_fmax_140.00MHz_Impl_PrjName_Impl,7572016,1787,36,1\1,1\1,58,88.660,slim_clk_c,50.736,NA,6.677,NA,NA,0,0,YES,101.024,YES,15,15,21,15
