[SW]:,Diamond_64bit3.8.0.86.0
[synthesis]:,synpL201603Lbeta
[Speed grade]:,6
[Target Fmax]:,
[Note]:
[Updated date]:,Mon Jun 20 16:01:47 2016
Design,Version,Device,Register,Slice,LUT,IO,EBR,DRAM,DSP,DSP_MULT,DSP_ALU,PCS,distributed_RAM,CCU,MULT18X18D,MULT9X9D,ALU54B,ALU24B,PRADD18A,PRADD9A,MULT36X36B,MULT18X18B,MULT18X18MACB,MULT18X18ADDSUBB,MULT18X18ADDSUBSUMB,MULT9X9B,MULT9X9ADDSUBB,MULT18X18C,MULT9X9C,ALU54A,ALU24A,MapCPUTime,MapPeakMem,Seed/Target,PAP,PAPFactor,targetFmax,fmax,clkName,logic,route,level,twrLabel,score_setup,score_hold,Pass_num,S_pref_num,H_pref_num,CCU_lse,LsePeakMem,PostLSEClk,PostLSEFmax,SynPeakMem,lse_CPU_Time,srr_Cpu_time,srr_Real_time,mrp_CPU_Time,mrp_REAL_Time,Complete,ParPeakMem,Par_Done,par_CPU_Time,par_REAL_Time,Total_cpu_time,Total_real_time
02_ECI_Master,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,212,270,426,10,0,6,NA,NA,NA,NA,6,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39,110.00MHz,90.85%,-,110.000,99.940,SCL_c,31.4%,68.6%,6,Target_fmax_110.00MHz_Impl_PrjName_Impl,34298,931,36,6\1,6\2,22,NA,NA,NA,174,NA,4,5,0,0,YES,86.512,YES,11,11,15,16
04_FTML_SLIMbusDevice_iCE1K,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,725,714,1028,9,2,24,NA,NA,NA,NA,24,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,47,140.00MHz,60.60%,-,140.000,84.846,slim_clk_1,29.8%,70.2%,6,Target_fmax_140.00MHz_Impl_PrjName_Impl,2539384,2529,36,2\1,2\1,59,NA,NA,NA,191,NA,8,17,0,0,YES,103.256,YES,14,14,22,31
06_Huawei_Mobile_LCD_Scaler_V2.0,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,289,389,581,28,10,0,NA,NA,NA,NA,0,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,42,280.00MHz,41.65%,-,280.000,116.618,clk_24m,30.6%,69.4%,8,Target_fmax_280.00MHz_Impl_PrjName_Impl,17514067,702,36,3\2,3\2,121,NA,NA,NA,157,NA,4,4,0,0,YES,93.241,YES,12,12,16,16
08_iceblink40_demo,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,187,195,303,22,0,0,NA,NA,NA,NA,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,38,320.00MHz,75.14%,-,320.000,240.442,CLK_3P3_MHZ_c,54.0%,46.0%,15,Target_fmax_320.00MHz_Impl_PrjName_Impl,218218,389,36,3\2,3\1,38,NA,NA,NA,152,NA,2,2,0,0,YES,83.116,YES,9,10,11,12
10_Novero_SPI_RFFEMaster_Bridge,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,332,284,337,29,0,12,NA,NA,NA,NA,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39,280.00MHz,79.74%,-,280.000,223.264,i_sys_clk_c,28.6%,71.4%,4,Target_fmax_280.00MHz_Impl_PrjName_Impl,115351,1559,36,2\2,2\2,11,NA,NA,NA,152,NA,3,3,0,0,YES,87.478,YES,13,14,16,17
11_RIM_RFFESlave_GPIOBridge,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,102,142,221,2,0,0,NA,NA,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,41,120.00MHz,85.72%,-,120.000,102.859,i_SCLK_c,27.7%,72.3%,6,Target_fmax_120.00MHz_Impl_PrjName_Impl,10952,93,36,2\1,2\2,28,NA,NA,NA,181,NA,6,6,0,0,YES,80.265,YES,7,7,13,13
11_powertop_sb,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,929,1714,2557,18,0,0,NA,NA,NA,NA,0,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,61,200.00MHz,49.71%,-,200.000,99.413,clk_c,35.2%,64.8%,12,Target_fmax_200.00MHz_Impl_PrjName_Impl,18775533,500,36,1\1,1\1,230,NA,NA,NA,214,NA,10,10,1,0,YES,134.570,YES,46,48,57,58
12_pwr_cntr90_top,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,2880,1868,3720,6,0,0,NA,NA,NA,NA,0,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,77,050.00MHz,834.03%,-,50.000,417.014,clk_c,63.2%,36.8%,5,Target_fmax_050.00MHz_Impl_PrjName_Impl,0,0,36,1\0,1\0,1800,NA,NA,NA,162,NA,150,148,2,2,YES,142.709,YES,25,26,177,176
14_SLIMBus_Device_iCE1K,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,721,726,1081,8,2,24,NA,NA,NA,NA,24,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,47,110.00MHz,89.87%,-,110.000,98.853,slim_clk_c,25.8%,74.2%,4,Target_fmax_110.00MHz_Impl_PrjName_Impl,179580,2348,36,3\1,3\2,52,NA,NA,NA,192,NA,10,10,0,0,YES,103.457,YES,18,18,28,28
16_SLIMBusToSPDIF,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,574,619,908,4,1,0,NA,NA,NA,NA,0,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,46,070.00MHz,111.10%,-,70.000,77.773,slim_clk_c,27.3%,72.7%,7,Target_fmax_070.00MHz_Impl_PrjName_Impl,0,0,36,1\0,1\0,60,NA,NA,NA,193,NA,8,8,0,0,YES,102.511,YES,17,17,25,25
